,date,shareholder,shareholder position,trading type,shares
0,2022-09-05,Nguyễn Thu Phương,Khác,Bán,359500
1,2022-08-31,Nguyễn Thu Phương,Khác,Bán,615800
2,2022-06-29,Nguyễn Thị Bổn,Khác,Bán,966100
3,2022-06-20,Nguyễn Thị Bổn,Khác,Đăng ký bán,966100
4,2022-05-30,Hồ Xuân Vinh,Thành viên HĐQT,Mua,100000
5,2022-05-25,Nguyễn Thị Thanh,Chủ tịch HĐQT,Mua,100000
6,2022-05-05,Hồ Xuân Vinh,Thành viên HĐQT,Đăng ký mua,100000
7,2022-04-27,Nguyễn Thị Thanh,Chủ tịch HĐQT,Đăng ký mua,100000
8,2021-11-19,CTCP Đầu tư Châu Á - Thái Bình Dương,Khác,Bán,1000000
9,2021-11-02,CTCP Đầu tư Châu Á - Thái Bình Dương,Khác,Đăng ký bán,1000000
10,2021-10-19,CTCP Chứng khoán Châu Á - Thái Bình Dương,Khác,Mua,4500000
11,2021-09-21,CTCP Chứng khoán Châu Á - Thái Bình Dương,Khác,Đăng ký mua,5000000
12,2021-09-09,Lucerne Enterprise Ltd,Khác,Bán,7426200
13,2021-09-09,Nguyễn Thu Phương,Khác,Mua,3000000
14,2021-09-09,Asean Deep Value Fund,Khác,Bán,5317800
15,2021-09-09,Nguyễn Ngọc Diệp,Khác,Mua,3200000
16,2021-04-07,Asean Deep Value Fund,Khác,Bán,100000
17,2021-04-06,Asean Deep Value Fund,Khác,Bán,70000
18,2021-04-06,Asean Deep Value Fund,Khác,Bán,70000
19,2021-03-09,Asean Deep Value Fund,Khác,Bán,400000
20,2021-03-09,Asean Deep Value Fund,Khác,Bán,75000
21,2021-03-03,Asean Deep Value Fund,Khác,Bán,75000
22,2021-01-20,David Peter O'Neil,Khác,Bán,13300
23,2019-05-30,Asean Deep Value Fund,Khác,Mua,14600
24,2019-05-08,Asean Deep Value Fund,Khác,Đăng ký mua,100000
25,2019-04-26,Asean Deep Value Fund,Khác,Mua,0
26,2019-04-10,Asean Deep Value Fund,Khác,Đăng ký mua,100000
27,2019-03-29,Asean Deep Value Fund,Khác,Mua,0
28,2019-03-07,Asean Deep Value Fund,Khác,Đăng ký mua,150000
29,2019-02-28,Asean Deep Value Fund,Khác,Mua,7000
30,2019-02-14,Asean Deep Value Fund,Khác,Đăng ký mua,150000
31,2019-01-31,Asean Deep Value Fund,Khác,Mua,6700
32,2019-01-07,Asean Deep Value Fund,Khác,Đăng ký mua,150000
33,2018-12-31,Asean Deep Value Fund,Khác,Mua,46600
34,2018-12-07,Asean Deep Value Fund,Khác,Đăng ký mua,150000
35,2018-11-30,Asean Deep Value Fund,Khác,Mua,39600
36,2018-11-07,Asean Deep Value Fund,Khác,Đăng ký mua,150000
37,2018-10-31,Asean Deep Value Fund,Khác,Mua,28700
38,2018-10-04,Asean Deep Value Fund,Khác,Đăng ký mua,50000
39,2018-09-28,Asean Deep Value Fund,Khác,Mua,0
40,2018-09-07,Asean Deep Value Fund,Khác,Đăng ký mua,50000
41,2018-08-31,Asean Deep Value Fund,Khác,Mua,0
42,2018-08-06,Asean Deep Value Fund,Khác,Đăng ký mua,75000
43,2018-07-31,Asean Deep Value Fund,Khác,Mua,53300
44,2018-07-06,Asean Deep Value Fund,Khác,Đăng ký mua,120000
45,2018-06-29,Asean Deep Value Fund,Khác,Mua,0
46,2018-06-22,Huỳnh Thị Mai Dung,Khác,Mua,1313500
47,2018-06-06,Asean Deep Value Fund,Khác,Đăng ký mua,120000
48,2018-05-31,Asean Deep Value Fund,Khác,Mua,90600
49,2018-05-28,Huỳnh Thị Mai Dung,Khác,Đăng ký mua,1500000
50,2018-05-18,Huỳnh Thị Mai Dung,Khác,Mua,1435300
51,2018-05-10,Huỳnh Thị Mai Dung,Khác,Mua,401800
52,2018-05-08,Asean Deep Value Fund,Khác,Đăng ký mua,170000
53,2018-04-27,Asean Deep Value Fund,Khác,Mua,34900
54,2018-04-23,Huỳnh Thị Mai Dung,Khác,Đăng ký mua,2000000
55,2018-04-09,Asean Deep Value Fund,Khác,Đăng ký mua,50000
56,2018-03-30,Asean Deep Value Fund,Khác,Mua,14900
57,2018-03-08,Asean Deep Value Fund,Khác,Đăng ký mua,200000
58,2018-02-28,Asean Deep Value Fund,Khác,Mua,20600
59,2018-02-07,Asean Deep Value Fund,Khác,Đăng ký mua,25000
60,2018-01-31,Asean Deep Value Fund,Khác,Mua,14200
61,2018-01-08,Asean Deep Value Fund,Khác,Đăng ký mua,25000
62,2017-12-29,Asean Deep Value Fund,Khác,Mua,8400
63,2017-12-06,Asean Deep Value Fund,Khác,Đăng ký mua,30000
64,2017-11-30,Asean Deep Value Fund,Khác,Mua,15000
65,2017-11-03,Asean Deep Value Fund,Khác,Đăng ký mua,50000
66,2017-10-31,Asean Deep Value Fund,Khác,Mua,21200
67,2017-10-06,Asean Deep Value Fund,Khác,Đăng ký mua,75000
68,2017-09-29,Asean Deep Value Fund,Khác,Mua,22100
69,2017-09-12,Asean Deep Value Fund,Khác,Đăng ký mua,75000
70,2017-08-31,Asean Deep Value Fund,Khác,Mua,41500
71,2017-08-07,Asean Deep Value Fund,Khác,Đăng ký mua,75000
72,2017-07-31,Asean Deep Value Fund,Khác,Mua,37200
73,2017-07-05,Asean Deep Value Fund,Khác,Đăng ký mua,100000
74,2017-06-30,Asean Deep Value Fund,Khác,Mua,0
75,2017-06-05,Asean Deep Value Fund,Khác,Đăng ký mua,300000
76,2017-05-29,Asean Deep Value Fund,Khác,Mua,270000
77,2017-05-09,Nguyễn Thị Bổn,Khác,Mua,55700
78,2017-05-08,Asean Deep Value Fund,Khác,Đăng ký mua,400000
79,2017-04-28,Asean Deep Value Fund,Khác,Mua,285000
80,2017-04-28,Nguyễn Đỗ Lăng,Thành viên HĐQT,Mua,3512200
81,2017-04-25,Lê Hồng Nam,Khác,Bán,890800
82,2017-04-05,Asean Deep Value Fund,Khác,Đăng ký mua,400000
83,2017-03-31,Asean Deep Value Fund,Khác,Mua,500000
84,2017-03-30,Nguyễn Đỗ Lăng,Thành viên HĐQT,Đăng ký mua,4000000
85,2017-03-03,Asean Deep Value Fund,Khác,Đăng ký mua,600000
86,2017-02-28,Asean Deep Value Fund,Khác,Mua,800000
87,2017-02-02,Asean Deep Value Fund,Khác,Đăng ký mua,800000
88,2017-01-23,Asean Deep Value Fund,Khác,Mua,125000
89,2017-01-03,Asean Deep Value Fund,Khác,Đăng ký mua,125000
90,2016-12-30,Asean Deep Value Fund,Khác,Mua,50900
91,2016-12-01,Asean Deep Value Fund,Khác,Đăng ký mua,150000
92,2016-11-28,Asean Deep Value Fund,Khác,Mua,65400
93,2016-11-02,Asean Deep Value Fund,Khác,Đăng ký mua,175000
94,2016-10-31,Asean Deep Value Fund,Khác,Mua,69400
95,2016-10-04,Asean Deep Value Fund,Khác,Đăng ký mua,200000
96,2016-09-30,Asean Deep Value Fund,Khác,Mua,104000
97,2016-09-05,Asean Deep Value Fund,Khác,Đăng ký mua,300000
98,2016-08-30,Asean Deep Value Fund,Khác,Mua,153000
99,2016-08-01,Asean Deep Value Fund,Khác,Đăng ký mua,400000
100,2016-02-19,Asean Deep Value Fund,Khác,Mua,270000
101,2016-01-22,Asean Deep Value Fund,Khác,Đăng ký mua,500000
102,2015-07-31,CTCP Đầu tư Châu Á - Thái Bình Dương,Khác,Mua,1000000
103,2015-07-08,CTCP Đầu tư Châu Á - Thái Bình Dương,Khác,Đăng ký mua,1000000
104,2015-03-23,Lucerne Enterprise Ltd,Khác,Mua,7300000
105,2015-03-20,Asean Small Cap Fund,Khác,Mua,650000
106,2015-03-19,Lê Hồng Nam,Khác,Mua,1450000
107,2014-11-19,Đặng Thanh Tú,Khác,Bán,113500
108,2014-11-18,Đặng Thanh Tú,Khác,Bán,618000
109,2014-10-21,David Peter O'Neil,Khác,Mua,58600
110,2014-09-22,David Peter O'Neil,Khác,Đăng ký mua,165000
111,2014-04-29,Đặng Thanh Tú,Khác,Mua,51900
112,2014-04-25,Nguyễn Kim Dung,Khác,Bán,6000
113,2014-04-15,Nguyễn Thị Bổn,Khác,Mua,110700
114,2014-04-03,Nguyễn Thị Hồng Cúc,Khác,Bán,500000
115,2014-04-03,Đặng Thanh Tú,Khác,Mua,500000
116,2014-04-01,Nguyễn Kim Dung,Khác,Đăng ký bán,6000
117,2014-03-28,Nguyễn Thị Bổn,Khác,Đăng ký mua,1000000
118,2014-03-24,Nguyễn Thị Hồng Cúc,Khác,Mua,230200
119,2014-03-21,Nguyễn Thị Bổn,Khác,Mua,379800
120,2014-02-26,Nguyễn Thị Bổn,Khác,Đăng ký mua,1000000
121,2014-02-20,Nguyễn Thị Hồng Cúc,Khác,Mua,154400
122,2014-02-18,Nguyễn Thị Bổn,Khác,Mua,165500
123,2014-01-24,Nguyễn Duy Khanh,Khác,Mua,300000
124,2014-01-23,Nguyễn Thị Bổn,Khác,Đăng ký mua,757600
125,2014-01-17,Nguyễn Thị Bổn,Khác,Mua,242400
126,2014-01-13,Đặng Anh Tuấn,Khác,Mua,0
127,2013-12-25,Nguyễn Duy Khanh,Khác,Đăng ký mua,500000
128,2013-12-25,Nguyễn Thị Bổn,Khác,Đăng ký mua,1000000
129,2013-12-24,Nguyễn Tiến Lộc,Khác,Mua,200000
130,2013-12-13,Đặng Anh Tuấn,Khác,Đăng ký mua,10000
131,2013-12-02,Nguyễn Tiến Lộc,Khác,Đăng ký mua,200000
132,2013-11-25,Asean Small Cap Fund,Khác,Mua,329700
133,2013-09-11,Asean Small Cap Fund,Khác,Mua,200000
134,2013-07-02,Asean Small Cap Fund,Khác,Mua,83400
135,2013-06-18,Asean Small Cap Fund,Khác,Mua,418600
136,2013-05-21,Asean Small Cap Fund,Khác,Mua,297800
137,2013-05-03,Asean Small Cap Fund,Khác,Mua,129800
138,2010-06-15,Huỳnh Tiến Dũng,Khác,Bán,0
139,2010-06-15,Nguyễn Duy Khanh,Khác,Bán,1362309
140,2010-06-15,Nguyễn Đỗ Lăng,Thành viên HĐQT,Bán,6000000
141,2010-06-09,Huỳnh Tiến Dũng,Khác,Đăng ký bán,81000
142,2010-05-15,Nguyễn Duy Khanh,Khác,Đăng ký bán,1362309
143,2010-05-15,Nguyễn Đỗ Lăng,Thành viên HĐQT,Đăng ký bán,6000000
144,2010-02-22,Huỳnh Tiến Dũng,Khác,Bán,0
145,2010-01-25,Nguyễn Thị Bổn,Khác,Bán,0
146,2010-01-22,Huỳnh Tiến Dũng,Khác,Đăng ký bán,81000
147,2010-01-13,Nguyễn Thị Bổn,Khác,Đăng ký bán,60000
